Date,Open,High,Low,Close,Volume,Adj Close
2015-09-01,42.169998,45.00,41.66,43.48,38816700,43.48
2015-08-03,46.98,48.41,39.720001,43.52,38391300,43.52
2015-07-01,44.459999,47.400002,43.32,46.700001,34393600,46.394062
2015-06-01,47.060001,47.77,43.939999,44.150002,31854400,43.860767
2015-05-01,48.580002,48.91,46.02,46.860001,33479600,46.553013
2015-04-01,40.599998,49.540001,40.119999,48.639999,44726700,48.009338
2015-03-02,43.669998,44.189999,40.540001,40.66,39055500,40.132809
2015-02-02,40.59,44.299999,40.23,43.849998,36316400,43.281445
2015-01-02,46.66,47.91,40.349998,40.400002,49848000,39.594402
2014-12-01,47.880001,49.060001,44.900002,46.450001,29467800,45.523762
2014-11-03,46.889999,50.049999,46.73,47.810001,28659100,46.856644
2014-10-01,46.27,46.970001,42.099998,46.950001,38655800,45.725391
2014-09-02,45.43,47.57,44.529999,46.360001,42564700,45.150784
2014-08-01,43.209999,45.470001,42.209999,45.43,25501300,44.245041
2014-07-01,41.860001,45.709999,41.049999,43.16,34688800,41.773338
2014-06-02,40.950001,42.290001,39.860001,41.700001,27932600,40.360249
2014-05-01,40.240002,40.970001,38.509998,40.939999,28996600,39.62466
2014-04-01,41.150002,41.66,38.900002,40.400002,37217700,38.828094
2014-03-03,37.919998,41.50,37.490002,40.990002,39300500,39.395138
2014-02-03,37.740002,38.459999,35.689999,38.310001,39290500,36.819412
2014-01-02,37.349998,37.889999,34.630001,37.84,48732700,36.097019
2013-12-02,38.09,38.98,35.529999,37.41,40196200,35.686825
2013-11-01,35.669998,38.290001,35.389999,38.130001,41126100,36.373661
2013-10-01,33.349998,36.290001,32.799999,35.41,43783200,33.5247
2013-09-03,31.75,33.75,30.950001,33.279999,64140000,31.508104
2013-08-01,32.060001,35.200001,30.84,33.400002,49729700,31.621717
2013-07-01,34.75,36.43,31.02,31.84,52501300,29.933844
2013-06-03,34.919998,35.779999,32.57,34.540001,50535000,32.472202
2013-05-01,32.93,35.279999,32.32,34.900002,51273800,32.810654
2013-04-01,28.639999,33.110001,28.110001,33.099998,70041900,30.90172
2013-03-01,27.719999,28.66,27.52,28.610001,45019900,26.709919
2013-02-01,27.67,28.200001,27.10,27.799999,42969800,25.953712
2013-01-02,27.25,28.23,26.280001,27.450001,56932500,25.416527
2012-12-03,26.780001,27.73,26.26,26.709999,49503000,24.731344
2012-11-01,28.84,30.200001,26.34,26.620001,66390700,24.648012
2012-10-01,29.809999,30.25,27.76,28.540001,55946000,26.210403
2012-09-04,30.450001,31.610001,29.74,29.76,49859800,27.33082
2012-08-01,29.59,30.959999,28.969999,30.82,30797300,28.304296
2012-07-02,30.620001,31.049999,28.540001,29.469999,42105900,26.886374
2012-06-01,28.76,31.139999,28.32,30.59,48969400,27.908184
2012-05-01,32.049999,32.34,28.639999,29.190001,47886600,26.630922
2012-04-02,32.220001,32.889999,30.23,32.02,48821800,29.022383
2012-03-01,31.93,32.950001,31.49,32.259998,44277900,29.239914
2012-02-01,29.790001,32.00,29.709999,31.74,52182700,28.768595
2012-01-03,26.549999,29.950001,26.389999,29.530001,70271500,26.590437
2011-12-01,25.559999,26.190001,25.16,25.959999,49264800,23.375811
2011-11-01,26.190001,27.200001,24.299999,25.58,53693200,23.033638
2011-10-03,24.719999,27.50,24.26,26.629999,60235300,23.7999
2011-09-01,26.459999,27.50,24.60,24.889999,63522800,22.244818
2011-08-01,27.51,27.690001,23.790001,26.60,77332100,23.77309
2011-07-01,25.93,28.15,25.84,27.40,68186100,24.334478
2011-06-01,24.99,26.00,23.65,26.00,61376900,23.09111
2011-05-02,25.940001,26.25,24.030001,25.01,67821800,22.211872
2011-04-01,25.530001,26.870001,24.719999,25.92,81658100,22.870153
2011-03-01,26.60,26.780001,24.68,25.389999,59744300,22.402515
2011-02-01,27.799999,28.34,26.43,26.58,61355100,23.452496
2011-01-03,28.049999,29.459999,27.42,27.73,71314300,24.323418
2010-12-01,25.57,28.40,25.559999,27.91,48111900,24.481304
2010-11-01,26.879999,28.870001,24.93,25.26,68402700,22.156853
2010-10-01,24.77,27.200001,23.780001,26.67,66458300,23.250774
2010-09-01,23.67,25.530001,23.540001,24.49,63542900,21.350262
2010-08-02,25.99,26.379999,23.32,23.469999,61156600,20.461029
2010-07-01,23.09,26.41,22.73,25.809999,71053500,22.381638
2010-06-01,25.530001,26.93,22.950001,23.01,79675500,19.953564
2010-05-03,30.67,31.059999,24.559999,25.799999,89381300,22.372965
2010-04-01,29.35,31.58,28.620001,30.540001,65821100,26.364384
2010-03-01,28.77,30.57,28.24,29.290001,51043300,25.285292
2010-02-01,28.389999,29.030001,27.57,28.67,58684900,24.750061
2010-01-04,30.620001,31.24,27.66,28.18,81765200,24.213827
2009-12-01,29.52,31.50,29.25,30.48,43297000,26.190115
2009-11-02,27.700001,30.139999,27.41,29.41,53121400,25.27071
2009-10-01,25.41,29.35,24.43,27.73,72581900,23.722303
2009-09-01,24.35,26.25,23.76,25.719999,52500600,22.0028
2009-08-03,23.82,25.49,23.030001,24.65,49659200,21.087442
2009-07-01,24.049999,25.719999,22.00,23.52,71441700,20.008253
2009-06-01,21.00,24.34,20.860001,23.77,67163500,20.220926
2009-05-01,20.190001,20.940001,19.01,20.889999,57362800,17.770935
2009-04-01,18.23,21.200001,18.18,20.26,78563800,17.126236
2009-03-02,15.96,18.879999,14.87,18.370001,78098900,15.528577
2009-02-02,17.030001,19.93,16.10,16.15,81560000,13.651959
2009-01-02,19.530001,21.00,16.75,17.10,81320700,14.35658
2008-12-01,19.879999,21.25,18.469999,19.440001,72425500,16.321165
2008-11-03,22.48,23.66,17.50,20.219999,95976900,16.976025
2008-10-01,26.379999,27.469999,20.65,22.33,136418800,18.621363
2008-09-02,27.67,27.76,23.50,26.690001,96891900,22.25724
2008-08-01,25.92,28.50,25.07,27.290001,59889700,22.757591
2008-07-01,27.27,27.91,24.870001,25.719999,77180100,21.363134
2008-06-02,28.24,29.57,27.110001,27.51,77060400,22.849916
2008-05-01,28.50,30.530001,27.950001,28.32,69931800,23.522705
2008-04-01,28.83,32.099998,27.93,28.52,69066000,23.60194
2008-03-03,27.24,29.59,26.870001,28.379999,74958500,23.486082
2008-02-01,31.059999,33.25,27.02,27.200001,122099600,22.509565
2008-01-02,35.790001,35.959999,31.040001,32.599998,97806800,26.873953
2007-12-03,33.50,36.720001,32.630001,35.599998,55002300,29.347015
2007-11-01,36.529999,37.50,32.68,33.599998,90565400,27.698307
2007-10-01,29.459999,37.00,29.290001,36.810001,85117900,30.24449
2007-09-04,28.50,29.85,28.27,29.459999,61223000,24.20545
2007-08-01,28.950001,30.10,27.51,28.73,55264800,23.605654
2007-07-02,29.67,31.84,28.950001,28.99,64862000,23.736084
2007-06-01,30.790001,30.90,29.040001,29.469999,59647900,24.129091
2007-05-01,29.940001,31.16,29.90,30.690001,64202000,25.127989
2007-04-02,27.889999,30.74,27.559999,29.940001,51337600,24.434761
2007-03-01,27.82,28.549999,26.60,27.870001,59843900,22.745384
2007-02-01,30.84,30.940001,27.790001,28.17,72483300,22.990221
2007-01-03,29.91,31.48,29.40,30.860001,69924300,25.098568
2006-12-01,29.23,30.26,28.799999,29.860001,58945000,24.285263
2006-11-01,28.780001,30.00,28.58,29.360001,61544700,23.878611
2006-10-02,27.32,28.85,27.15,28.709999,61492200,23.270405
2006-09-01,25.889999,27.52,25.389999,27.35,56588300,22.168081
2006-08-01,24.02,26.25,23.85,25.700001,50459500,20.830702
2006-07-03,23.530001,24.60,22.23,24.059999,68627600,19.429876
2006-06-01,22.74,23.65,21.459999,23.299999,92940200,18.816132
2006-05-01,24.32,25.00,22.450001,22.65,110427000,18.291218
2006-04-03,27.67,27.940001,24.00,24.15,107219900,19.426804
2006-03-01,26.98,28.219999,26.620001,27.209999,65223100,21.888336
2006-02-01,27.959999,28.07,26.34,26.870001,58565000,21.614834
2006-01-03,26.25,28.379999,26.10,28.15,74173200,22.56802
2005-12-01,27.73,28.10,26.10,26.15,62892300,20.964607
2005-11-01,25.610001,28.25,25.610001,27.68,71469100,22.191217
2005-10-03,25.709999,25.799999,24.25,25.700001,72132400,20.543617
2005-09-01,27.379999,27.389999,25.120001,25.73,66976400,20.567598
2005-08-01,25.809999,27.940001,25.76,27.379999,65529900,21.886545
2005-07-01,24.85,26.48,24.50,25.610001,69046600,20.411131
2005-06-01,25.73,26.00,24.82,24.84,62956700,19.797441
2005-05-02,25.23,26.09,24.639999,25.799999,62699700,20.562559
2005-04-01,24.24,25.450001,23.940001,25.299999,77090200,20.1003
2005-03-01,25.190001,25.790001,23.82,24.17,72899700,19.202541
2005-02-01,26.25,26.50,25.129999,25.16,75992300,19.989075
2005-01-03,26.799999,27.10,25.639999,26.280001,79642800,20.814672
2004-12-01,26.950001,27.440001,26.68,26.719999,84488000,21.163166
2004-11-01,28.16,30.200001,26.10,26.809999,86446000,21.234449
2004-10-01,27.82,28.889999,27.549999,27.969999,65742900,19.876537
2004-09-01,27.23,27.790001,26.74,27.65,57725200,19.649134
2004-08-02,28.27,28.549999,26.85,27.299999,52104600,19.40041
2004-07-01,28.700001,29.889999,27.25,28.49,76666600,20.186522
2004-06-01,26.129999,28.799999,25.860001,28.559999,77068200,20.236118
2004-05-03,26.190001,26.60,25.42,26.23,58942400,18.585203
2004-04-01,24.950001,27.719999,24.85,26.129999,77386600,18.514347
2004-03-01,26.629999,26.719999,24.01,24.93,77111900,17.664091
2004-02-02,27.610001,27.799999,26.35,26.530001,57385900,18.797768
2004-01-02,27.58,28.83,27.26,27.65,63635800,19.591341
2003-12-01,25.90,27.549999,25.50,27.370001,69030000,19.392948
2003-11-03,26.35,26.75,24.84,25.709999,77670400,18.216759
2003-10-01,28.030001,29.459999,25.91,26.139999,63898000,18.521433
2003-09-02,26.700001,30.00,26.469999,27.799999,62697200,19.587734
2003-08-01,26.33,26.950001,25.43,26.52,47667100,18.685854
2003-07-01,25.59,27.809999,25.389999,26.41,61659800,18.608349
2003-06-02,24.98,26.51,23.60,25.639999,77050900,18.065809
2003-05-01,25.540001,26.50,23.889999,24.610001,66480900,17.340078
2003-04-01,24.459999,26.43,23.950001,25.57,62151600,18.016489
2003-03-03,24.02,26.799999,22.549999,24.209999,68727900,17.058239
2003-02-03,47.93,49.099998,23.299999,23.700001,73871300,16.698896
2003-01-02,52.299999,57.32,47.029999,47.459999,86929500,16.666443
2002-12-02,58.650002,58.959999,51.259998,51.700001,63170400,18.155397
2002-11-01,52.43,58.639999,51.900002,57.68,79219500,20.255383
2002-10-01,44.32,54.07,43.189999,53.470001,112232300,18.776964
2002-09-03,48.52,51.099998,43.110001,43.740002,90564100,15.360098
2002-08-01,47.580002,53.450001,43.799999,49.080002,80631600,17.235336
2002-07-01,54.119999,54.93,41.41,47.98,114821000,16.849051
2002-06-03,50.990002,56.439999,49.169998,54.700001,96181400,19.208902
2002-05-01,52.16,56.439999,48.349998,50.91,67578800,17.877974
2002-04-01,59.830002,60.400002,51.439999,52.259998,67948300,18.352051
